filter_radius,max_diff_mean,max_diff_std,count
2,9.31323e-10,0.0,10
4,2.793968e-09,0.0,10
8,9.313226e-09,0.0,10
16,1.8626451e-08,0.0,10
32,8.9406967e-08,0.0,10
64,2.98023224e-07,0.0,10
128,1.192092896e-06,0.0,10
256,3.814697266e-06,0.0,10
